                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2104,                0.70826,                 0.8655,                0.87075,                0.44878,                0.51879,                0.33102,                 1.2088,                0.71949,                 0.9069,             0.00049529,             0.00049529,             0.00049529
                     36,                    1.2,                0.70304,                0.86015,                0.85825,                 0.4747,                0.52115,                0.31769,                 1.2089,                  0.724,                0.91218,               0.000467,               0.000467,               0.000467
                     37,                 1.2158,                0.70928,                0.86886,                0.89786,                0.46782,                0.54138,                0.33775,                  1.204,                0.71737,                0.91574,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.2194,                0.70063,                0.86381,                0.89683,                0.46881,                0.54721,                0.34357,                 1.2125,                   0.73,                0.91268,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.2086,                0.71009,                0.86721,                0.88982,                0.47073,                0.55142,                0.34889,                 1.1781,                0.71664,                0.91219,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.2483,                0.68804,                  0.863,                0.87592,                0.47674,                0.56979,                0.35316,                 1.1671,                0.71273,                0.90759,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.2102,                0.78242,                 0.8685,                0.90443,                0.47121,                0.56208,                0.34667,                  1.204,                0.73527,                 0.9212,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.1719,                0.73509,                0.87146,                0.88926,                0.48002,                0.55614,                0.34937,                 1.2016,                0.73689,                0.91864,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.1581,                0.70583,                0.86729,                 0.8757,                0.48402,                0.55749,                0.33903,                 1.2518,                0.74106,                0.91476,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.1535,                0.71586,                0.86061,                0.91812,                0.46684,                 0.5598,                 0.3505,                 1.1984,                0.71775,                0.90997,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.1485,                0.68896,                0.86478,                0.90336,                0.47835,                0.57102,                0.35428,                 1.2002,                0.71561,                0.90697,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.1192,                0.68597,                0.86626,                0.92238,                0.46733,                0.57325,                0.35464,                 1.2229,                0.71867,                 0.9066,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.1394,                0.68851,                0.86232,                0.85284,                 0.4946,                0.57358,                0.35787,                 1.2134,                0.70829,                0.90406,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.1016,                0.66009,                0.85896,                0.86579,                0.51071,                0.57305,                0.35762,                 1.1843,                0.69362,                0.89839,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.1139,                0.66892,                0.85679,                0.85955,                0.50409,                0.57179,                0.35755,                 1.1884,                0.68963,                0.89944,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.0994,                0.66001,                0.85323,                0.86577,                0.50434,                0.57327,                0.35919,                 1.1923,                 0.6781,                0.90062,             7.0878e-05,             7.0878e-05,             7.0878e-05
